edge	weight	E1_cov	E1_hits	E10_cov	E10_hits	E100_cov	E100_hits	E1000_cov	E1000_hits
profile_304 (EFL) cdd_263944	0.00083	0.00083	1	0.00083	1	0.00083	1	0.00083	1
profile_0 (EFL) cdd_265651	0.00076	0.00076	2	0.00076	2	0.00076	2	0.0023	6
profile_269 (EFL) cdd_261594	0.0025	0.0025	1	0.0025	1	0.0025	1	0.015	6
profile_293 (EFL) cdd_266485	0.36	0.16	658	0.29	1158	0.36	1454	0.41	1676
profile_213 (EFL) cdd_238155	0.45	0.27	3	0.45	5	0.45	5	0.82	9
profile_39 (EFL) cdd_260342	0.9	0.79	858	0.82	896	0.9	984	0.95	1033
profile_236 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_85 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_246 (EFL) cdd_261022	0.0057	0.00096	1	0.0019	2	0.0057	6	0.021	22
profile_38 (EFL) cdd_265459	0.62	0.45	968	0.5	1073	0.62	1328	0.76	1627
profile_232 (EFL) cdd_261038	0.00047	0.00047	1	0.00047	1	0.00047	1	0.015	31
profile_107 (EFL) cdd_266538	0.0033	0.0003	1	0.0003	1	0.0033	11	0.051	169
profile_0 (EFL) cdd_260181	0.0032	0.0032	1	0.0032	1	0.0032	1	0.0032	1
profile_86 (EFL) cdd_266488	0.02	0.004	1	0.004	1	0.02	5	0.16	40
profile_180 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_154 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0019	7
profile_36 (EFL) cdd_263972	0.64	0.5	732	0.59	852	0.64	926	0.71	1032
profile_41 (EFL) cdd_265459	0.0014	0.00047	1	0.00047	1	0.0014	3	0.0089	19
profile_107 (EFL) cdd_260349	0.016	0.0054	1	0.0054	1	0.016	3	0.098	18
profile_213 (EFL) cdd_265470	0.005	0.00075	3	0.002	8	0.005	20	0.012	50
profile_56 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_303 (EFL) cdd_260201	0.53	0.48	341	0.51	364	0.53	379	0.58	413
profile_38 (EFL) cdd_261004	0.32	0.3	94	0.31	95	0.32	100	0.35	108
profile_147 (EFL) cdd_266569	0.34	0.15	55	0.23	82	0.34	121	0.55	197
profile_53 (EFL) cdd_260398	0.19	0.16	1226	0.17	1335	0.19	1488	0.21	1654
profile_218 (EFL) cdd_212558	0.63	0.38	36	0.48	45	0.63	59	0.73	69
profile_143 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_220 (EFL) cdd_119389	0.02	0.0028	1	0.0057	2	0.02	7	0.097	34
profile_163 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0052	19
profile_5 (EFL) cdd_266546	0.41	0.32	165	0.32	165	0.41	211	0.43	224
profile_174 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_13 (EFL) cdd_266674	0.83	0.83	105	0.83	105	0.83	106	0.86	109
profile_208 (EFL) cdd_260430	0.025	0.001	1	0.002	2	0.025	24	0.065	64
profile_105 (EFL) cdd_260262	0.46	0.39	75	0.44	85	0.46	88	0.47	91
profile_292 (EFL) cdd_266539	0.0035	0.0012	1	0.0023	2	0.0035	3	0.018	16
profile_229 (EFL) cdd_266551	0.69	0.67	2455	0.68	2467	0.69	2505	0.72	2613
profile_90 (EFL) cdd_260251	0.73	0.7	212	0.72	216	0.73	221	0.75	227
profile_136 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_203 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0025	9
profile_14 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_144 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_135 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_241 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_233 (EFL) cdd_267315	0.18	0.065	127	0.096	187	0.18	352	0.27	522
profile_156 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_273 (EFL) cdd_260331	0.018	0.01	23	0.012	26	0.018	39	0.02	44
profile_207 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_152 (EFL) cdd_266502	0.0082	0.001	2	0.0015	3	0.0082	16	0.029	57
profile_107 (EFL) cdd_260227	0.024	0.0036	6	0.0066	11	0.024	40	0.19	322
profile_86 (EFL) cdd_246675	0.0079	0.0006	1	0.0006	1	0.0079	13	0.085	140
profile_266 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_189 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_280 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_304 (EFL) cdd_263758	0.0079	0.00056	1	0.0017	3	0.0079	14	0.04	72
profile_298 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0047	17
profile_190 (EFL) cdd_260278	0.58	0.44	67	0.44	68	0.58	89	0.68	104
profile_96 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0069	25
profile_276 (EFL) cdd_260375	0.9	0.89	144	0.89	144	0.9	145	0.9	145
profile_150 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_243 (EFL) cdd_248061	0.0058	0.0058	1	0.0058	1	0.0058	1	0.017	3
profile_62 (EFL) cdd_266551	0.0016	0.00027	1	0.00027	1	0.0016	6	0.006	22
profile_208 (EFL) cdd_266551	0.00082	0.00027	1	0.00027	1	0.00082	3	0.0071	26
profile_0 (EFL) cdd_260433	0.0025	0.0015	3	0.002	4	0.0025	5	0.0034	7
profile_299 (EFL) cdd_266583	0.36	0.31	268	0.33	285	0.36	309	0.37	318
profile_2 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_246 (EFL) cdd_263942	0.00023	0.00023	1	0.00023	1	0.00023	1	0.0025	11
profile_252 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_54 (EFL) cdd_267417	0.0023	0.0012	1	0.0012	1	0.0023	2	0.035	30
profile_289 (EFL) cdd_266551	0.00082	0.00027	1	0.00027	1	0.00082	3	0.003	11
profile_152 (EFL) cdd_260155	0.75	0.57	167	0.62	182	0.75	218	0.84	246
profile_117 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_102 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_263 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0074	27
profile_107 (EFL) cdd_260458	0.0057	0.0011	1	0.0023	2	0.0057	5	0.083	72
profile_86 (EFL) cdd_261442	0.0082	0.00063	1	0.00063	1	0.0082	13	0.12	186
profile_218 (EFL) cdd_264347	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0019	7
profile_135 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_228 (EFL) cdd_260315	0.63	0.43	45	0.43	45	0.63	66	0.65	68
profile_212 (EFL) cdd_212558	0.37	0.18	17	0.22	21	0.37	35	0.54	51
profile_196 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_213 (EFL) cdd_263920	0.0017	0.00035	1	0.001	3	0.0017	5	0.0024	7
profile_86 (EFL) cdd_266539	0.017	0.0012	1	0.0012	1	0.017	15	0.2	176
profile_256 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_217 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_63 (EFL) cdd_260331	0.00045	0.00045	1	0.00045	1	0.00045	1	0.0009	2
profile_86 (EFL) cdd_261038	0.052	0.00047	1	0.0028	6	0.052	110	0.35	747
profile_71 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_225 (EFL) cdd_266574	0.34	0.29	166	0.34	192	0.34	197	0.39	222
profile_66 (EFL) cdd_266551	0.00082	0.00027	1	0.00027	1	0.00082	3	0.0049	18
profile_170 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_231 (EFL) cdd_260261	0.78	0.66	69	0.7	74	0.78	82	0.86	90
profile_86 (EFL) cdd_260327	0.024	0.0021	1	0.0021	1	0.024	11	0.16	75
profile_269 (EFL) cdd_264509	0.0014	0.0014	1	0.0014	1	0.0014	1	0.0028	2
profile_45 (EFL) cdd_265439	0.00099	0.00099	1	0.00099	1	0.00099	1	0.0039	4
profile_252 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_232 (EFL) cdd_266569	0.036	0.0028	1	0.0084	3	0.036	13	0.078	28
profile_105 (EFL) cdd_263758	0.00056	0.00056	1	0.00056	1	0.00056	1	0.0011	2
profile_139 (EFL) cdd_265413	0.079	0.055	165	0.055	165	0.079	239	0.091	275
profile_182 (EFL) cdd_263931	0.23	0.22	123	0.22	126	0.23	131	0.25	140
profile_107 (EFL) cdd_260247	0.0082	0.001	1	0.001	1	0.0082	8	0.08	78
profile_49 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_153 (EFL) cdd_264507	0.001	0.001	1	0.001	1	0.001	1	0.0021	2
profile_190 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_54 (EFL) cdd_266485	0.00049	0.00025	1	0.00025	1	0.00049	2	0.011	44
profile_122 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_249 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.001	7
profile_109 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0047	9
profile_169 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_175 (EFL) cdd_260768	0.17	0.14	143	0.14	145	0.17	179	0.28	288
profile_0 (EFL) cdd_238008	0.82	0.8	83	0.8	83	0.82	85	0.82	85
profile_286 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0038	14
profile_8 (EFL) cdd_264488	0.72	0.65	1390	0.68	1439	0.72	1539	0.76	1611
profile_228 (EFL) cdd_260251	0.0033	0.0033	1	0.0033	1	0.0033	1	0.013	4
profile_86 (EFL) cdd_213405	0.033	0.0083	1	0.0083	1	0.033	4	0.083	10
profile_23 (EFL) cdd_266541	0.17	0.16	175	0.16	179	0.17	181	0.17	182
profile_14 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_212 (EFL) cdd_266586	0.48	0.31	53	0.35	60	0.48	81	0.56	96
profile_107 (EFL) cdd_265450	0.0067	0.00084	2	0.00084	2	0.0067	16	0.11	258
profile_86 (EFL) cdd_261334	0.076	0.0036	1	0.0036	1	0.076	21	0.24	65
profile_86 (EFL) cdd_241585	0.0063	0.0063	1	0.0063	1	0.0063	1	0.11	17
profile_214 (EFL) cdd_260432	0.0048	0.0016	2	0.004	5	0.0048	6	0.0095	12
profile_116 (EFL) cdd_260156	0.0068	0.0034	1	0.0034	1	0.0068	2	0.014	4
profile_228 (EFL) cdd_266552	0.0016	0.0016	3	0.0016	3	0.0016	3	0.0041	8
profile_289 (EFL) cdd_266525	0.00047	0.00024	1	0.00024	1	0.00047	2	0.0012	5
profile_218 (EFL) cdd_212556	0.25	0.12	1	0.12	1	0.25	2	0.5	4
profile_210 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0019	7
profile_225 (EFL) cdd_266485	0.00049	0.00025	1	0.00025	1	0.00049	2	0.0022	9
profile_292 (EFL) cdd_263940	0.00017	0.00017	1	0.00017	1	0.00017	1	0.0024	14
profile_287 (EFL) cdd_243239	0.45	0.27	89	0.33	108	0.45	146	0.49	160
profile_107 (EFL) cdd_264487	0.014	0.00085	3	0.0023	8	0.014	49	0.1	371
profile_213 (EFL) cdd_260331	0.00045	0.00045	1	0.00045	1	0.00045	1	0.00045	1
profile_134 (EFL) cdd_266496	0.00078	0.00078	1	0.00078	1	0.00078	1	0.0016	2
profile_98 (EFL) cdd_260138	0.046	0.045	62	0.046	63	0.046	63	0.047	64
profile_295 (EFL) cdd_246675	0.0006	0.0006	1	0.0006	1	0.0006	1	0.0012	2
profile_196 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_110 (EFL) cdd_265440	0.33	0.23	146	0.24	148	0.33	208	0.35	222
profile_225 (EFL) cdd_266525	0.049	0.045	193	0.048	205	0.049	207	0.055	233
profile_48 (EFL) cdd_260398	0.00063	0.00013	1	0.00013	1	0.00063	5	0.0015	12
profile_140 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_88 (EFL) cdd_238078	0.016	0.016	1	0.016	1	0.016	1	0.016	1
profile_87 (EFL) cdd_266526	0.0017	0.00029	2	0.00029	2	0.0017	12	0.0043	30
profile_142 (EFL) cdd_264347	0.0076	0.0046	17	0.0049	18	0.0076	28	0.0095	35
profile_170 (EFL) cdd_266538	0.038	0.035	117	0.035	117	0.038	125	0.039	130
profile_279 (EFL) cdd_260427	0.067	0.06	104	0.061	105	0.067	116	0.073	126
profile_60 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0036	13
profile_293 (EFL) cdd_266546	0.27	0.15	80	0.23	120	0.27	140	0.29	152
profile_107 (EFL) cdd_260207	0.0028	0.00092	1	0.00092	1	0.0028	3	0.053	58
profile_38 (EFL) cdd_245232	0.31	0.2	175	0.24	208	0.31	274	0.42	371
profile_204 (EFL) cdd_261300	0.59	0.57	1198	0.58	1213	0.59	1223	0.59	1237
profile_113 (EFL) cdd_266502	0.0015	0.00051	1	0.00051	1	0.0015	3	0.019	36
profile_213 (EFL) cdd_260181	0.0032	0.0032	1	0.0032	1	0.0032	1	0.0032	1
profile_86 (EFL) cdd_266498	0.048	0.0037	1	0.0037	1	0.048	13	0.25	67
profile_137 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_129 (EFL) cdd_264357	0.0023	0.00075	1	0.0015	2	0.0023	3	0.0098	13
profile_107 (EFL) cdd_260367	0.015	0.0026	1	0.0026	1	0.015	6	0.14	55
profile_292 (EFL) cdd_261441	0.0072	0.0024	1	0.0072	3	0.0072	3	0.014	6
profile_147 (EFL) cdd_266485	0.31	0.11	433	0.2	814	0.31	1244	0.41	1647
profile_63 (EFL) cdd_238155	0.64	0.36	4	0.36	4	0.64	7	0.91	10
profile_51 (EFL) cdd_266546	0.0019	0.0019	1	0.0019	1	0.0019	1	0.0039	2
profile_51 (EFL) cdd_260285	0.0097	0.0097	1	0.0097	1	0.0097	1	0.039	4
profile_29 (EFL) cdd_260329	0.16	0.16	60	0.16	60	0.16	61	0.16	61
profile_237 (EFL) cdd_267449	0.015	0.0025	1	0.005	2	0.015	6	0.055	22
profile_233 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0063	23
profile_246 (EFL) cdd_266579	0.025	0.0036	2	0.0072	4	0.025	14	0.21	115
profile_289 (EFL) cdd_261449	0.17	0.081	167	0.098	202	0.17	351	0.24	491
profile_134 (EFL) cdd_261105	0.014	0.014	1	0.014	1	0.014	1	0.014	1
profile_228 (EFL) cdd_267297	0.92	0.89	118	0.91	121	0.92	123	0.97	129
profile_231 (EFL) cdd_266551	0.0063	0.00027	1	0.00027	1	0.0063	23	0.053	194
profile_214 (EFL) cdd_211413	0.034	0.0042	1	0.025	6	0.034	8	0.097	23
profile_51 (EFL) cdd_265439	0.002	0.00099	1	0.00099	1	0.002	2	0.0089	9
profile_54 (EFL) cdd_260226	0.7	0.65	127	0.66	128	0.7	136	0.76	148
profile_107 (EFL) cdd_260196	0.0088	0.00083	2	0.00083	2	0.0088	21	0.14	327
profile_219 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_251 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_197 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.014	2
profile_201 (EFL) cdd_266587	0.19	0.18	52	0.19	55	0.19	55	0.2	57
profile_293 (EFL) cdd_263925	0.016	0.001	3	0.004	12	0.016	47	0.11	340
profile_55 (EFL) cdd_266552	0.014	0.014	27	0.014	27	0.014	27	0.014	27
profile_235 (EFL) cdd_266547	0.33	0.19	54	0.21	59	0.33	92	0.44	123
profile_293 (EFL) cdd_266569	0.53	0.21	75	0.4	142	0.53	189	0.65	233
profile_246 (EFL) cdd_261369	0.12	0.025	7	0.064	18	0.12	33	0.46	130
profile_99 (EFL) cdd_260433	0.00049	0.00049	1	0.00049	1	0.00049	1	0.00049	1
profile_86 (EFL) cdd_266551	0.0088	0.00027	1	0.00055	2	0.0088	32	0.14	492
profile_235 (EFL) cdd_266569	0.29	0.18	63	0.23	83	0.29	105	0.53	191
profile_0 (EFL) cdd_238155	0.82	0.36	4	0.55	6	0.82	9	0.91	10
profile_118 (EFL) cdd_263925	0.0067	0.00033	1	0.00033	1	0.0067	20	0.033	100
profile_294 (EFL) cdd_260205	0.025	0.014	10	0.016	11	0.025	18	0.032	23
profile_63 (EFL) cdd_238008	0.82	0.82	85	0.82	85	0.82	85	0.82	85
profile_303 (EFL) cdd_245232	0.14	0.13	114	0.14	122	0.14	127	0.15	135
profile_190 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_281 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_31 (EFL) cdd_260455	0.2	0.19	122	0.19	122	0.2	128	0.2	130
profile_61 (EFL) cdd_260339	0.11	0.0029	4	0.0057	8	0.11	156	0.31	429
profile_53 (EFL) cdd_266525	0.00024	0.00024	1	0.00024	1	0.00024	1	0.0016	7
profile_107 (EFL) cdd_266912	0.0031	0.0031	1	0.0031	1	0.0031	1	0.044	14
profile_145 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_131 (EFL) cdd_267420	0.038	0.038	1	0.038	1	0.038	1	0.038	1
profile_104 (EFL) cdd_260306	0.78	0.77	151	0.77	151	0.78	153	0.79	156
profile_272 (EFL) cdd_260271	0.13	0.1	54	0.11	58	0.13	72	0.17	91
profile_236 (EFL) cdd_263946	0.09	0.062	52	0.084	71	0.09	76	0.098	83
profile_228 (EFL) cdd_187839	0.33	0.33	1	0.33	1	0.33	1	1.0	3
profile_60 (EFL) cdd_260377	0.0072	0.0022	3	0.0022	3	0.0072	10	0.016	22
profile_151 (EFL) cdd_260274	1.0	0.87	13	0.87	13	1.0	15	1.0	15
profile_60 (EFL) cdd_264805	0.077	0.038	1	0.038	1	0.077	2	0.27	7
profile_41 (EFL) cdd_266574	0.34	0.34	195	0.34	196	0.34	196	0.34	197
profile_86 (EFL) cdd_260152	0.021	0.0035	1	0.0035	1	0.021	6	0.17	48
profile_63 (EFL) cdd_246675	0.0006	0.0006	1	0.0006	1	0.0006	1	0.0012	2
profile_93 (EFL) cdd_266508	0.92	0.91	1597	0.91	1599	0.92	1609	0.92	1614
profile_86 (EFL) cdd_260430	0.013	0.002	2	0.002	2	0.013	13	0.11	106
profile_86 (EFL) cdd_261284	0.0045	0.0009	1	0.0009	1	0.0045	5	0.092	102
profile_31 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0021	4
profile_32 (EFL) cdd_266551	0.00082	0.00055	2	0.00055	2	0.00082	3	0.0019	7
profile_86 (EFL) cdd_247803	0.013	0.0014	1	0.0014	1	0.013	9	0.12	87
profile_175 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.00086	6
profile_192 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0041	8
profile_73 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0014	5
profile_222 (EFL) cdd_266698	0.33	0.23	16	0.29	20	0.33	23	0.33	23
profile_107 (EFL) cdd_260315	0.019	0.0095	1	0.0095	1	0.019	2	0.19	20
profile_153 (EFL) cdd_264350	0.0019	0.0019	1	0.0019	1	0.0019	1	0.0019	1
profile_86 (EFL) cdd_266492	0.0091	0.00091	1	0.00091	1	0.0091	10	0.13	144
profile_60 (EFL) cdd_263080	0.008	0.0011	2	0.0011	2	0.008	15	0.048	91
profile_39 (EFL) cdd_260163	0.0028	0.0014	1	0.0014	1	0.0028	2	0.0043	3
profile_229 (EFL) cdd_266630	0.022	0.0054	2	0.011	4	0.022	8	0.11	39
profile_67 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0011	4
profile_221 (EFL) cdd_260308	0.0045	0.00089	1	0.0018	2	0.0045	5	0.015	17
profile_21 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0025	9
profile_86 (EFL) cdd_265413	0.0073	0.00033	1	0.00033	1	0.0073	22	0.11	346
profile_200 (EFL) cdd_265651	0.37	0.36	937	0.36	948	0.37	976	0.38	1006
profile_200 (EFL) cdd_266525	0.0014	0.00024	1	0.00047	2	0.0014	6	0.0094	40
profile_125 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0026	5
profile_221 (EFL) cdd_260302	0.0045	0.0045	1	0.0045	1	0.0045	1	0.0045	1
profile_179 (EFL) cdd_267447	0.96	0.87	20	0.87	20	0.96	22	0.96	22
profile_302 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.006	22
profile_38 (EFL) cdd_263920	0.0017	0.0007	2	0.0007	2	0.0017	5	0.0031	9
profile_148 (EFL) cdd_245211	0.13	0.1	18	0.1	18	0.13	23	0.18	31
profile_86 (EFL) cdd_264354	0.041	0.0032	4	0.0032	4	0.041	51	0.25	310
profile_15 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0022	8
profile_107 (EFL) cdd_261289	0.006	0.002	1	0.002	1	0.006	3	0.076	38
profile_233 (EFL) cdd_266538	0.039	0.023	78	0.025	84	0.039	130	0.085	282
profile_54 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0025	9
profile_73 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0047	9
profile_28 (EFL) cdd_267411	0.83	0.62	18	0.62	18	0.83	24	0.97	28
profile_283 (EFL) cdd_266551	0.28	0.23	838	0.25	924	0.28	1034	0.33	1199
profile_295 (EFL) cdd_266528	0.51	0.29	30	0.35	36	0.51	52	0.65	66
profile_147 (EFL) cdd_266547	0.58	0.3	84	0.42	119	0.58	164	0.7	198
profile_41 (EFL) cdd_260399	0.00069	0.00069	1	0.00069	1	0.00069	1	0.0014	2
profile_85 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0016	6
profile_16 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_100 (EFL) cdd_266526	0.00014	0.00014	1	0.00014	1	0.00014	1	0.00072	5
profile_226 (EFL) cdd_266551	0.0052	0.0019	7	0.0044	16	0.0052	19	0.0082	30
profile_134 (EFL) cdd_266580	0.013	0.012	29	0.013	33	0.013	33	0.036	89
profile_10 (EFL) cdd_263927	0.66	0.63	134	0.63	134	0.66	140	0.68	144
profile_44 (EFL) cdd_266538	0.048	0.044	147	0.047	156	0.048	161	0.05	165
profile_86 (EFL) cdd_263509	0.055	0.0025	6	0.0029	7	0.055	130	0.27	639
profile_230 (EFL) cdd_263940	0.001	0.00034	2	0.00034	2	0.001	6	0.0024	14
profile_212 (EFL) cdd_266551	0.00082	0.00027	1	0.00027	1	0.00082	3	0.0088	32
profile_143 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_54 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_232 (EFL) cdd_261709	0.021	0.0071	1	0.0071	1	0.021	3	0.043	6
profile_186 (EFL) cdd_260279	0.21	0.17	84	0.17	85	0.21	102	0.28	138
profile_40 (EFL) cdd_265430	0.00037	0.00037	1	0.00037	1	0.00037	1	0.00037	1
profile_304 (EFL) cdd_263543	0.0035	0.0017	1	0.0035	2	0.0035	2	0.0087	5
profile_83 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_123 (EFL) cdd_263943	0.034	0.0022	2	0.0022	2	0.034	31	0.094	85
profile_0 (EFL) cdd_260331	0.00045	0.00045	1	0.00045	1	0.00045	1	0.00045	1
profile_36 (EFL) cdd_264492	0.0062	0.00057	1	0.0034	6	0.0062	11	0.028	50
profile_294 (EFL) cdd_263543	0.0017	0.0017	1	0.0017	1	0.0017	1	0.0017	1
profile_78 (EFL) cdd_265774	0.14	0.076	67	0.076	67	0.14	124	0.16	143
profile_185 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.013	46
profile_86 (EFL) cdd_266516	0.018	0.00063	1	0.00063	1	0.018	29	0.24	374
profile_86 (EFL) cdd_261488	0.011	0.0018	2	0.0018	2	0.011	12	0.12	127
profile_304 (EFL) cdd_260432	0.0072	0.0016	2	0.0024	3	0.0072	9	0.023	29
profile_107 (EFL) cdd_267460	0.012	0.0046	7	0.0046	7	0.012	18	0.12	182
profile_239 (EFL) cdd_267298	0.034	0.03	30	0.032	32	0.034	34	0.036	36
profile_16 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_62 (EFL) cdd_266525	0.11	0.096	408	0.1	426	0.11	450	0.11	476
profile_205 (EFL) cdd_260187	0.65	0.58	15	0.58	15	0.65	17	0.81	21
profile_167 (EFL) cdd_267315	0.14	0.12	238	0.12	238	0.14	270	0.14	272
profile_159 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_169 (EFL) cdd_260185	0.43	0.43	13	0.43	13	0.43	13	0.47	14
profile_37 (EFL) cdd_263972	0.88	0.8	1161	0.83	1212	0.88	1277	0.93	1345
profile_38 (EFL) cdd_260167	0.82	0.78	463	0.79	469	0.82	490	0.85	503
profile_228 (EFL) cdd_264488	0.0042	0.00047	1	0.00047	1	0.0042	9	0.031	67
profile_86 (EFL) cdd_238353	0.036	0.0089	1	0.0089	1	0.036	4	0.21	23
profile_75 (EFL) cdd_260963	0.73	0.68	256	0.68	256	0.73	275	0.76	286
profile_1 (EFL) cdd_260145	0.21	0.17	9	0.17	9	0.21	11	0.23	12
profile_280 (EFL) cdd_260323	0.022	0.012	10	0.012	10	0.022	18	0.029	23
profile_264 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.019	37
profile_226 (EFL) cdd_261368	0.0055	0.0055	1	0.0055	1	0.0055	1	0.0055	1
profile_30 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0062	12
profile_249 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
